name,party,electorate,leader,first,second,third
Adrian Rurawhe,Labour,Te Tai Hauauru,0,1,0,0
Agnes Loheni,National,List,0,0,0,0
Alastair Scott,National,Wairarapa,0,0,0,0
Alfred Ngaro,National,List,0,0,0,0
Amy Adams,National,Selwyn,0,1,1,1
Anahila Kanongata'a-Suisuiki,Labour,List,0,0,0,0
Andrew Bayly,National,Hunua,0,0,0,0
Andrew Falloon,National,Rangitata,0,1,1,1
Andrew Little,Labour,List,0,1,1,1
Angie Warren-Clark,Labour,List,0,1,1,1
Anne Tolley,National,East Coast,0,1,0,0
Aupito William Sio,Labour,Mangere,0,0,0,0
Barbara Kuriger,National,Taranaki-King Country,0,1,1,1
Brett Hudson,National,List,0,1,1,1
Carmel Sepuloni,Labour,Kelston,0,1,1,1
Chloe Swarbrick,Green,List,0,1,1,1
Chris Bishop,National,Hutt South,0,1,1,1
Chris Hipkins,Labour,Rimutaka,0,1,1,1
Chris Penk,National,Helensville,0,0,0,0
Clare Curran,Labour,Dunedin South,0,1,1,1
Clayton Mitchell,NZ First,List,0,1,1,1
Damien O'Connor,Labour,West Coast-Tasman,0,0,0,0
Dan Bidois,National,Northcote,0,0,0,0
Darroch Ball,NZ First,List,0,1,1,1
David Bennett,National,Hamilton East,0,0,0,0
David Carter,National,List,0,0,0,0
David Clark,Labour,Dunedin North,0,0,0,0
David Parker,Labour,List,0,1,1,1
David Seymour,Act,Epsom,1,1,1,1
Deborah Russell,Labour,New Lynn,0,1,0,0
Denise Lee,National,Maungakiekie,0,0,0,0
Duncan Webb,Labour,Christchurch Central,0,1,1,1
Erica Stanford,National,East Coast Bays,0,1,1,1
Eugenie Sage,Green,List,0,1,1,1
Fletcher Tabuteau,NZ First,List,0,1,1,1
Gareth Hughes,Green,List,0,1,1,1
Gerry Brownlee,National,Ilam,0,0,0,0
Ginny Andersen,Labour,List,0,1,1,1
Golriz Ghahraman,Green,List,0,1,1,1
Grant Robertson,Labour,Wellington Central,0,1,1,1
Greg O'Connor,Labour,Ohariu,0,1,1,1
Hamish Walker,National,Clutha-Southland,0,1,0,0
Harete Hipango,National,Whanganui,0,1,0,0
Iain Lees-Galloway,Labour,Palmerston North,0,1,1,1
Ian McKelvie,National,Rangitikei,0,0,0,0
Jacinda Ardern,Labour,Mt Albert,1,1,1,1
Jacqui Dean,National,Waitaki,0,0,0,0
James Shaw,Green,List,1,1,1,1
Jami-Lee Ross,Independent,Botany,0,1,1,1
Jamie Strange,Labour,List,0,0,0,0
Jan Logie,Green,List,0,1,1,1
Jan Tinetti,Labour,List,0,1,1,1
Jenny Marcroft,NZ First,List,0,1,1,1
Jenny Salesa,Labour,Manukau East,0,0,0,0
Jian Yang,National,List,0,1,1,1
Jo Hayes,National,List,0,0,0,0
Jo Luxton,Labour,List,0,1,1,1
Jonathan Young,National,New Plymouth,0,0,0,0
Judith Collins,National,Papakura,0,0,1,1
Julie Anne Genter,Green,List,0,1,1,1
Kanwaljit Singh Bakshi,National,List,0,0,0,0
Kelvin Davis,Labour,Te Tai Tokerau,0,1,1,1
Kieran McAnulty,Labour,List,0,1,1,1
Kiri Allan,Labour,List,0,1,0,1
Kris Faafoi,Labour,Mana,0,1,1,1
Lawrence Yule,National,Tukituki,0,0,1,0
Liz Craig,Labour,List,0,1,1,1
Louisa Wall,Labour,Manurewa,0,1,1,1
Louise Upston,National,Taupo,0,0,0,0
Maggie Barry,National,North Shore,0,0,0,0
Marama Davidson,Green,List,1,1,1,1
Marja Lubeck,Labour,List,0,1,1,1
Mark Mitchell,National,Rodney,0,1,1,1
Mark Patterson,NZ First,List,0,1,1,1
Matt King,National,Northland,0,1,1,1
Matthew Doocey,National,Waimakariri,0,1,1,1
Maureen Pugh,National,List,0,0,0,0
Megan Woods,Labour,Wigram,0,1,1,1
Meka Whaitiri,Labour,Ikaroa Rawhiti,0,1,0,0
Melissa Lee,National,List,0,0,0,0
Michael Wood,Labour,Mt Roskill,0,1,0,0
Michael Woodhouse,National,List,0,0,0,0
Nanaia Mahuta,Labour,Hauraki-Waikato,0,1,1,1
Nathan Guy,National,Otaki,0,1,0,0
Nick Smith,National,Nelson,0,0,0,0
Nicky Wagner,National,List,0,0,0,0
Nicola Willis,National,List,0,1,1,1
Nikki Kaye,National,Auckland Central,0,1,1,1
Parmjeet Parmar,National,List,0,0,0,0
Paul Eagle,Labour,Rongotai,0,1,1,1
Paul Goldsmith,National,List,0,0,0,0
Paula Bennett,National,Upper Harbour,0,1,1,1
Paulo Garcia,National,List,0,0,0,0
Peeni Henare,Labour,Tamaki Makaurau,0,1,1,1
Phil Twyford,Labour,Te Atatu,0,0,0,0
Poto Williams,Labour,Christchurch East,0,0,1,0
Priyanca Radhakrishnan,Labour,List,0,1,1,1
Raymond Huo,Labour,List,0,1,1,1
Rino Tirikatene,Labour,Te Tai Tonga,0,0,0,0
Ron Mark,NZ First,List,0,1,1,1
Ruth Dyson,Labour,Port Hills,0,1,1,1
Sarah Dowie,National,Invercargill,0,0,0,0
Scott Simpson,National,Coromandel,0,1,1,1
Shane Jones,NZ First,List,0,1,1,1
Shane Reti,National,Whangarei,0,0,0,0
Simeon Brown,National,Pakuranga,0,0,0,0
Simon Bridges,National,Tauranga,1,0,0,0
Simon O'Connor,National,Tamaki,0,0,0,0
Stuart Nash,Labour,Napier,0,1,1,1
Stuart Smith,National,Kaikoura,0,1,1,0
Tamati Coffey,Labour,Waiariki,0,1,1,1
Tim Macindoe,National,Hamilton West,0,0,0,0
Tim van de Molen,National,Waikato,0,1,1,1
Todd McClay,National,Rotorua,0,0,0,0
Todd Muller,National,Bay of Plenty,0,0,0,0
Tracey Martin,NZ First,List,0,1,1,1
Trevor Mallard,Labour,List,0,1,1,1
Willie Jackson,Labour,List,0,1,1,1
Willow-Jean Prime,Labour,List,0,1,1,1
Winston Peters,NZ First,List,1,1,1,1
